"","date","o3_max"
"1",2017-10-11,43
"2",2017-10-12,39
"3",2017-10-13,65
"4",2017-10-14,112
"5",2017-10-15,129
"6",2017-10-16,40
"7",2017-10-17,60
"8",2017-10-18,109
"9",2017-10-19,117
"10",2017-10-20,118
"11",2017-10-21,123
"12",2017-10-22,68
"13",2017-10-23,46
"14",2017-10-24,53
"15",2017-10-25,82
"16",2017-10-26,149
"17",2017-10-27,157
"18",2017-10-28,117
"19",2017-10-29,115
"20",2017-10-30,120
"21",2017-10-31,132
"22",2017-11-01,125
"23",2017-11-02,96
"24",2017-11-03,75
"25",2017-11-04,78
"26",2017-11-05,119
"27",2017-11-06,114
"28",2017-11-07,85
"29",2017-11-08,94
"30",2017-11-09,117
"31",2017-11-10,114
"32",2017-11-11,108
"33",2017-11-12,94
"34",2017-11-13,59
"35",2017-11-14,76
"36",2017-11-15,82
"37",2017-11-16,82
"38",2017-11-17,83
"39",2017-11-18,91
"40",2017-11-19,63
"41",2017-11-20,94
"42",2017-11-21,99
"43",2017-11-22,79
"44",2017-11-23,84
"45",2017-11-24,111
"46",2017-11-25,131
"47",2017-11-26,66
"48",2017-11-27,85
"49",2017-11-28,121
"50",2017-11-29,103
"51",2017-11-30,89
"52",2017-12-01,82
"53",2017-12-02,112
"54",2017-12-03,116
"55",2017-12-04,118
"56",2017-12-05,116
"57",2017-12-06,110
"58",2017-12-07,95
"59",2017-12-08,52
"60",2017-12-09,64
"61",2017-12-10,73
"62",2017-12-11,87
"63",2017-12-12,72
"64",2017-12-13,106
"65",2017-12-14,115
"66",2017-12-15,83
"67",2017-12-16,53
"68",2017-12-17,92
"69",2017-12-18,110
"70",2017-12-19,104
"71",2017-12-20,104
"72",2017-12-21,106
"73",2017-12-22,97
"74",2017-12-23,104
"75",2017-12-24,123
"76",2017-12-25,95
"77",2017-12-26,101
"78",2017-12-27,103
"79",2017-12-28,93
"80",2017-12-29,79
"81",2017-12-30,92
"82",2017-12-31,104
"83",2018-01-01,91
"84",2018-01-02,84
"85",2018-01-03,94
"86",2018-01-04,107
"87",2018-01-05,119
"88",2018-01-06,96
"89",2018-01-07,112
"90",2018-01-08,83
"91",2018-01-09,88
"92",2018-01-10,118
"93",2018-01-11,131
"94",2018-01-12,95
"95",2018-01-13,76
"96",2018-01-14,79
"97",2018-01-15,85
