"","date","pm10_max"
"1",2017-10-11,89
"2",2017-10-12,91
"3",2017-10-13,78
"4",2017-10-14,85
"5",2017-10-15,94
"6",2017-10-16,80
"7",2017-10-17,64
"8",2017-10-18,145
"9",2017-10-19,197
"10",2017-10-20,182
"11",2017-10-21,206
"12",2017-10-22,243
"13",2017-10-23,171
"14",2017-10-24,150
"15",2017-10-25,91
"16",2017-10-26,175
"17",2017-10-27,218
"18",2017-10-28,122
"19",2017-10-29,152
"20",2017-10-30,198
"21",2017-10-31,152
"22",2017-11-01,136
"23",2017-11-02,171
"24",2017-11-03,217
"25",2017-11-04,185
"26",2017-11-05,175
"27",2017-11-06,256
"28",2017-11-07,262
"29",2017-11-08,254
"30",2017-11-09,201
"31",2017-11-10,250
"32",2017-11-11,171
"33",2017-11-12,154
"34",2017-11-13,185
"35",2017-11-14,124
"36",2017-11-15,196
"37",2017-11-16,203
"38",2017-11-17,226
"39",2017-11-18,246
"40",2017-11-19,158
"41",2017-11-20,142
"42",2017-11-21,204
"43",2017-11-22,168
"44",2017-11-23,173
"45",2017-11-24,237
"46",2017-11-25,281
"47",2017-11-26,155
"48",2017-11-27,239
"49",2017-11-28,230
"50",2017-11-29,286
"51",2017-11-30,202
"52",2017-12-01,168
"53",2017-12-02,234
"54",2017-12-03,166
"55",2017-12-04,244
"56",2017-12-05,283
"57",2017-12-06,246
"58",2017-12-07,283
"59",2017-12-08,381
"60",2017-12-09,165
"61",2017-12-10,109
"62",2017-12-11,226
"63",2017-12-12,225
"64",2017-12-13,335
"65",2017-12-14,694
"66",2017-12-15,354
"67",2017-12-16,322
"68",2017-12-17,192
"69",2017-12-18,242
"70",2017-12-19,330
"71",2017-12-20,272
"72",2017-12-21,254
"73",2017-12-22,410
"74",2017-12-23,309
"75",2017-12-24,267
"76",2017-12-25,206
"77",2017-12-26,280
"78",2017-12-27,284
"79",2017-12-28,291
"80",2017-12-29,256
"81",2017-12-30,186
"82",2017-12-31,196
"83",2018-01-01,249
"84",2018-01-02,245
"85",2018-01-03,312
"86",2018-01-04,286
"87",2018-01-05,210
"88",2018-01-06,332
"89",2018-01-07,242
"90",2018-01-08,305
"91",2018-01-09,298
"92",2018-01-10,353
"93",2018-01-11,343
"94",2018-01-12,194
"95",2018-01-13,228
"96",2018-01-14,122
"97",2018-01-15,227
"98",2018-01-16,354
"99",2018-01-17,234
"100",2018-01-18,212
"101",2018-01-19,293
"102",2018-01-20,262
"103",2018-01-21,200
"104",2018-01-22,304
"105",2018-01-23,281
"106",2018-01-24,154
"107",2018-01-25,92
"108",2018-01-26,200
"109",2018-01-27,182
"110",2018-01-28,56
"111",2018-01-29,104
"112",2018-01-30,89
"113",2018-01-31,171
"114",2018-02-01,257
"115",2018-02-02,226
"116",2018-02-03,178
"117",2018-02-04,169
"118",2018-02-05,174
"119",2018-02-06,181
"120",2018-02-07,199
"121",2018-02-08,156
